elapsed_seconds,mode,component,pid,rss_kib,cpu_percent,cpu_time
226.898,old,go,2621,22128,0.0,0:00.09
226.902,old,rust,2624,19888,0.0,0:00.09
226.907,new,go,2625,21648,0.0,0:00.01
226.912,new,rust,2626,20048,0.0,0:00.02
231.926,old,go,2621,22128,0.0,0:00.09
231.931,old,rust,2624,19888,0.0,0:00.09
231.935,new,go,2625,21648,0.0,0:00.01
231.941,new,rust,2626,20048,0.0,0:00.02
236.951,old,go,2621,22160,0.0,0:00.09
236.956,old,rust,2624,19888,0.0,0:00.09
236.961,new,go,2625,21648,0.0,0:00.01
236.966,new,rust,2626,20048,0.0,0:00.02
241.979,old,go,2621,22176,0.0,0:00.09
241.983,old,rust,2624,19888,0.0,0:00.09
241.987,new,go,2625,21648,0.0,0:00.02
241.992,new,rust,2626,20048,0.0,0:00.02
247.002,old,go,2621,22176,0.0,0:00.09
247.007,old,rust,2624,19920,0.0,0:00.09
247.012,new,go,2625,21648,0.0,0:00.02
247.017,new,rust,2626,20064,0.0,0:00.02
252.029,old,go,2621,22176,0.0,0:00.09
252.033,old,rust,2624,19920,0.0,0:00.10
252.037,new,go,2625,21648,0.0,0:00.02
252.041,new,rust,2626,20064,0.0,0:00.02
257.053,old,go,2621,22208,0.0,0:00.10
257.057,old,rust,2624,19920,0.0,0:00.10
257.062,new,go,2625,21648,0.0,0:00.02
257.067,new,rust,2626,20064,0.0,0:00.02
262.079,old,go,2621,22224,0.0,0:00.10
262.084,old,rust,2624,19920,0.0,0:00.10
262.088,new,go,2625,21648,0.0,0:00.02
262.093,new,rust,2626,20064,0.0,0:00.02
267.102,old,go,2621,22240,0.0,0:00.10
267.107,old,rust,2624,19920,0.0,0:00.10
267.112,new,go,2625,21648,0.0,0:00.02
267.117,new,rust,2626,20064,0.0,0:00.02
272.13,old,go,2621,22240,0.0,0:00.10
272.134,old,rust,2624,19920,0.0,0:00.10
272.139,new,go,2625,21648,0.0,0:00.02
272.144,new,rust,2626,20064,0.0,0:00.02
277.156,old,go,2621,22240,0.0,0:00.10
277.161,old,rust,2624,19920,0.0,0:00.10
277.166,new,go,2625,21648,0.0,0:00.02
277.17,new,rust,2626,20064,0.0,0:00.02
282.178,old,go,2621,22240,0.0,0:00.10
282.183,old,rust,2624,19920,0.0,0:00.10
282.188,new,go,2625,21648,0.0,0:00.02
282.193,new,rust,2626,20064,0.0,0:00.02
287.206,old,go,2621,22240,0.0,0:00.10
287.211,old,rust,2624,19920,0.1,0:00.11
287.216,new,go,2625,21648,0.0,0:00.02
287.22,new,rust,2626,20064,0.0,0:00.02
292.232,old,go,2621,22240,0.0,0:00.10
292.237,old,rust,2624,19920,0.0,0:00.11
292.241,new,go,2625,21648,0.0,0:00.02
292.246,new,rust,2626,20064,0.0,0:00.02
297.254,old,go,2621,22288,0.0,0:00.11
297.259,old,rust,2624,19920,0.1,0:00.11
297.264,new,go,2625,21648,0.0,0:00.02
297.268,new,rust,2626,20064,0.0,0:00.02
302.28,old,go,2621,22288,0.0,0:00.11
302.285,old,rust,2624,19920,0.0,0:00.11
302.29,new,go,2625,21648,0.0,0:00.02
302.295,new,rust,2626,20064,0.0,0:00.02
307.308,old,go,2621,22336,0.0,0:00.11
307.314,old,rust,2624,19920,0.1,0:00.11
307.319,new,go,2625,21648,0.0,0:00.02
307.324,new,rust,2626,20080,0.0,0:00.02
312.337,old,go,2621,22336,0.0,0:00.11
312.343,old,rust,2624,19920,0.0,0:00.11
312.348,new,go,2625,21648,0.0,0:00.02
312.353,new,rust,2626,20080,0.0,0:00.02
317.365,old,go,2621,22368,0.0,0:00.11
317.371,old,rust,2624,19920,0.0,0:00.11
317.376,new,go,2625,21648,0.0,0:00.02
317.38,new,rust,2626,20080,0.0,0:00.02
322.392,old,go,2621,22368,0.0,0:00.11
322.397,old,rust,2624,19920,0.0,0:00.12
322.402,new,go,2625,21648,0.0,0:00.02
322.407,new,rust,2626,20080,0.0,0:00.02
327.418,old,go,2621,22384,0.0,0:00.11
327.422,old,rust,2624,19920,0.0,0:00.12
327.425,new,go,2625,21648,0.0,0:00.02
327.428,new,rust,2626,20080,0.0,0:00.02
332.44,old,go,2621,22400,0.0,0:00.11
332.446,old,rust,2624,19920,0.0,0:00.12
332.451,new,go,2625,21648,0.0,0:00.02
332.457,new,rust,2626,20080,0.0,0:00.02
337.469,old,go,2621,22432,0.0,0:00.12
337.474,old,rust,2624,19920,0.0,0:00.12
337.478,new,go,2625,21648,0.0,0:00.02
337.483,new,rust,2626,20080,0.0,0:00.02
342.491,old,go,2621,22448,0.0,0:00.12
342.493,old,rust,2624,19920,0.0,0:00.12
342.496,new,go,2625,21648,0.0,0:00.02
342.499,new,rust,2626,20080,0.0,0:00.02
347.509,old,go,2621,22448,0.0,0:00.12
347.515,old,rust,2624,19920,0.0,0:00.12
347.52,new,go,2625,21648,0.0,0:00.02
347.525,new,rust,2626,20080,0.0,0:00.02
352.536,old,go,2621,22464,0.0,0:00.12
352.541,old,rust,2624,19920,0.0,0:00.12
352.547,new,go,2625,21648,0.0,0:00.02
